UID          PID    PPID  C STIME TTY          TIME CMD
root         507       2  0 07:46 ?        00:00:00 [loop26]
root         518       2  0 07:46 ?        00:00:00 [loop27]
root         529       2  0 07:46 ?        00:00:00 [loop28]
root         530       2  0 07:46 ?        00:00:00 [loop29]
root         531       2  0 07:46 ?        00:00:00 [ttm_swap]
root         532       2  0 07:46 ?        00:00:00 [loop30]
root         533       2  0 07:46 ?        00:00:00 [loop31]
root         534       2  0 07:46 ?        00:00:00 [gfx]
root         535       2  0 07:46 ?        00:00:00 [comp_1.0.0]
root         536       2  0 07:46 ?        00:00:00 [comp_1.0.1]
root         537       2  0 07:46 ?        00:00:00 [comp_1.0.2]
root         538       2  0 07:46 ?        00:00:00 [comp_1.0.3]
root         539       2  0 07:46 ?        00:00:00 [comp_1.0.4]
root         540       2  0 07:46 ?        00:00:00 [comp_1.0.5]
root         541       2  0 07:46 ?        00:00:00 [comp_1.0.6]
root         542       2  0 07:46 ?        00:00:00 [comp_1.0.7]
root         545       2  0 07:46 ?        00:00:00 [loop32]
root         546       2  0 07:46 ?        00:00:00 [sdma0]
root         547       2  0 07:46 ?        00:00:00 [sdma1]
root         548       2  0 07:46 ?        00:00:00 [loop33]
systemd+     979       1  0 07:46 ?        00:00:01 /lib/systemd/systemd-resolved
systemd+     980       1  0 07:46 ?        00:00:00 /lib/systemd/systemd-timesyncd
root        1048       1  0 07:46 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root        1049       1  0 07:46 ?        00:00:02 /usr/sbin/acpid
avahi       1052       1  0 07:46 ?        00:00:00 avahi-daemon: running [demo.local]
root        1053       1  0 07:46 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root        1055       1  0 07:46 ?        00:00:00 /usr/sbin/cron -f
root        1056       1  0 07:46 ?        00:00:00 /usr/sbin/cupsd -l
message+    1057       1  0 07:46 ?        00:00:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1058       1  0 07:46 ?        00:00:11 /usr/sbin/NetworkManager --no-daemon
root        1066       1  0 07:46 ?        00:00:01 /usr/sbin/irqbalance --foreground
root        1068       1  0 07:46 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        1070       1  0 07:46 ?        00:00:02 /usr/lib/policykit-1/polkitd --no-debug
syslog      1072       1  0 07:46 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1075       1  0 07:46 ?        00:00:03 /usr/lib/snapd/snapd
root        1078       1  0 07:46 ?        00:00:00 /usr/libexec/switcheroo-control
root        1087       1  0 07:46 ?        00:00:01 /lib/systemd/systemd-logind
root        1090       1  0 07:46 ?        00:00:01 /usr/sbin/thermald --no-daemon --dbus-enable
root        1092       1  0 07:46 ?        00:00:01 /usr/lib/udisks2/udisksd
root        1094       1  0 07:46 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
daemon      1104       1  0 07:46 ?        00:00:00 /usr/sbin/atd -f
avahi       1114    1052  0 07:46 ?        00:00:00 avahi-daemon: chroot helper
root        1164       2  0 07:46 ?        00:00:00 [iprt-VBoxWQueue]
root        1165       2  0 07:46 ?        00:00:00 [iprt-VBoxTscThr]
root        1174       1  0 07:46 ?        00:00:00 /usr/sbin/cups-browsed
root        1179       1  0 07:46 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1185       1  0 07:46 ?        00:00:01 /usr/bin/anydesk --service
root        1190       1  0 07:46 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root        1212       1  0 07:46 ?        00:00:00 /usr/sbin/gdm3
rtkit       1296       1  0 07:46 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1428       1  0 07:46 ?        00:00:01 /usr/lib/upower/upowerd
colord      1717       1  0 07:46 ?        00:00:00 /usr/libexec/colord
root        1772    1212  0 07:46 ?        00:00:00 gdm-session-worker [pam/gdm-password]
whoopsie    1801       1  0 07:46 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    1810       1  0 07:46 ?        00:00:01 /usr/sbin/kerneloops --test
kernoops    1819       1  0 07:46 ?        00:00:01 /usr/sbin/kerneloops
root        1859       1  0 07:46 ?        00:00:17 /opt/teamviewer/tv_bin/teamviewerd -d
proftpd     2110       1  0 07:46 ?        00:00:00 proftpd: (accepting connections)
root        2730       1  0 07:46 ?        00:00:00 /usr/lib/postfix/sbin/master -w
daadest+    2744       1  0 07:46 ?        00:00:01 /lib/systemd/systemd --user
daadest+    2745    2744  0 07:46 ?        00:00:00 (sd-pam)
daadest+    2751    2744  1 07:46 ?        00:02:51 /usr/bin/pulseaudio --daemonize=no --log-target=journal
daadest+    2753    2744  0 07:46 ?        00:00:00 /usr/libexec/tracker-miner-fs
daadest+    2756    2744  0 07:46 ?        00:00:03 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
daadest+    2773       1  0 07:46 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
daadest+    2775    2744  0 07:46 ?        00:00:00 /usr/libexec/gvfsd
daadest+    2781    2744  0 07:46 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
daadest+    2787    2744  0 07:46 ?        00:00:01 /usr/libexec/gvfs-udisks2-volume-monitor
daadest+    2795    2744  0 07:46 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
daadest+    2800    2744  0 07:46 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
daadest+    2804    2744  0 07:46 ?        00:00:00 /usr/libexec/goa-daemon
root        2807       2  0 07:46 ?        00:00:00 [krfcommd]
daadest+    2815    2744  0 07:46 ?        00:00:00 /usr/libexec/goa-identity-service
daadest+    2821    2744  0 07:46 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
daadest+    2825    2744  0 07:46 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
daadest+    2844    1772  0 07:46 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
daadest+    2846    2844  3 07:46 tty2     00:07:26 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
daadest+    2908    2844  0 07:46 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
daadest+    2981    2908  0 07:46 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
daadest+    2998       1  0 07:46 ?        00:00:58 /usr/bin/ibus-daemon --daemonize --xim
daadest+    3002    2998  0 07:46 ?        00:00:00 /usr/libexec/ibus-dconf
daadest+    3003    2998  0 07:46 ?        00:00:00 /usr/libexec/ibus-ui-gtk3
daadest+    3007    2998  0 07:46 ?        00:00:10 /usr/libexec/ibus-extension-gtk3
daadest+    3009       1  0 07:46 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
